ProductId,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted,UserNo
01010,27.000000000,0.000000000,2800.000000,0.00,0.00,0.00,0.00,75600.000000,0.00,False,
01011,2.800000000,0.000000000,4000.000000,0.00,0.00,0.00,0.00,11200.000000,0.00,False,
01012,7.000000000,0.000000000,4000.000000,0.00,0.00,0.00,0.00,28000.000000,0.00,False,
01013,15.000000000,0.000000000,160.000000,0.00,0.00,0.00,0.00,2400.000000,0.00,False,
01015,2750.000000000,0.000000000,17.000000,0.00,0.00,0.00,0.00,46750.000000,0.00,False,
01016,30000.000000000,0.000000000,10.000000,0.00,0.00,0.00,0.00,300000.000000,0.00,False,
01017,11.000000000,0.000000000,3200.000000,0.00,0.00,0.00,0.00,35200.000000,0.00,False,
01019,2.000000000,0.000000000,5000.000000,0.00,0.00,0.00,0.00,10000.000000,0.00,False,
01020,560.000000000,0.000000000,350.000000,0.00,0.00,0.00,0.00,196000.000000,0.00,False,
01021,7.000000000,0.000000000,380.000000,0.00,0.00,0.00,0.00,2660.000000,0.00,False,
01023,10.000000000,0.000000000,5500.000000,0.00,0.00,0.00,0.00,55000.000000,0.00,False,
01025,8.500000000,0.000000000,4500.000000,0.00,0.00,0.00,0.00,38250.000000,0.00,False,
01027,14.000000000,0.000000000,350.000000,0.00,0.00,0.00,0.00,4900.000000,0.00,False,
01028,3.000000000,0.000000000,1650.000000,0.00,0.00,0.00,0.00,4950.000000,0.00,False,
01031,42.000000000,0.000000000,6500.000000,0.00,0.00,0.00,0.00,273000.000000,0.00,False,
01034,16.000000000,0.000000000,380.000000,0.00,0.00,0.00,0.00,6080.000000,0.00,False,
01036,265.000000000,0.000000000,750.000000,0.00,0.00,0.00,0.00,198750.000000,0.00,False,
01038,65.000000000,0.000000000,650.000000,0.00,0.00,0.00,0.00,42250.000000,0.00,False,
01039,20.000000000,0.000000000,4000.000000,0.00,0.00,0.00,0.00,80000.000000,0.00,False,
01041,32.000000000,0.000000000,620.000000,0.00,0.00,0.00,0.00,19840.000000,0.00,False,
01042,40.000000000,0.000000000,180.000000,0.00,0.00,0.00,0.00,7200.000000,0.00,False,
01044,48.000000000,0.000000000,132.000000,0.00,0.00,0.00,0.00,6336.000000,0.00,False,
01045,120.000000000,0.000000000,680.000000,0.00,0.00,0.00,0.00,81600.000000,0.00,False,
01046,20.000000000,0.000000000,16500.000000,0.00,0.00,0.00,0.00,330000.000000,0.00,False,
