SerialNo,AccountNo,VoucherNo,VoucherDate,Narration,Debit
349,64008,55,06/26/2026 00:00:00,,300000.00
350,64002,56,06/27/2026 00:00:00,SHAHBAZ MISTRY,5000.00
351,610005,56,06/27/2026 00:00:00,,200000.00
352,547,56,06/27/2026 00:00:00,ADMIN OFFICE ,221000.00
353,547,57,06/28/2026 00:00:00,ADMIN OFFICE TABLE,54000.00
354,64002,57,06/28/2026 00:00:00,NASIR MISTRY,7000.00
355,52055,57,06/28/2026 00:00:00,,10000.00
356,52055,57,06/28/2026 00:00:00,,32000.00
357,547,57,06/28/2026 00:00:00,ADMIN OFFICE,100000.00
358,64002,57,06/28/2026 00:00:00,HOUSE EXP,15000.00
359,610018,58,06/29/2026 00:00:00,SODIUM SULPHATE,18500.00
360,610019,58,06/29/2026 00:00:00,JAR 1 KG + PET BOTTLE,42400.00
361,52001,58,06/29/2026 00:00:00,,3000.00
362,547,58,06/29/2026 00:00:00,SHOPER,11100.00
363,64002,58,06/29/2026 00:00:00,ANWER SAMAN,9000.00
364,547,59,06/30/2026 00:00:00,ADMIN OFFICE FRIG,53000.00
365,64002,59,06/30/2026 00:00:00,SHAHBAZ MISTRY,20000.00
366,64002,59,06/30/2026 00:00:00,HOUSE EXP,39000.00
367,52055,59,06/30/2026 00:00:00,PETROL,8000.00
368,64002,59,06/30/2026 00:00:00,ASIF RANG,13000.00
369,64002,59,06/30/2026 00:00:00,NASIR SANTAARY,10000.00
370,64002,59,06/30/2026 00:00:00,ZULFIQAR LOHAR,30000.00
371,64002,59,06/30/2026 00:00:00,RAIT + CEMENT,10000.00
372,64002,59,06/30/2026 00:00:00,TILE,21700.00
373,610019,52,06/23/2026 00:00:00,HAMMID BOTTLE,80000.00
374,64002,52,06/23/2026 00:00:00,CABLE,6200.00
375,64002,52,06/23/2026 00:00:00,MISTRY SHAHBAZ,20000.00
376,52055,52,06/23/2026 00:00:00,PETROL,18000.00
377,64002,52,06/23/2026 00:00:00,SHAH RAGWALA,40000.00
378,64002,52,06/23/2026 00:00:00,HOUSE TILE,80000.00
379,64002,52,06/23/2026 00:00:00,ANWER,5000.00
380,610018,52,06/23/2026 00:00:00,MENTHOL,33000.00
381,610005,52,06/23/2026 00:00:00,,25000.00
383,64002,60,07/01/2026 00:00:00,NASIR MISTRY ,5000.00
384,52023,60,07/01/2026 00:00:00,NASIR THEKYDAR FACTORY,250000.00
385,64002,60,07/01/2026 00:00:00,SHAHBAZ MISTRY HOUSE WORK,158000.00
389,64002,61,07/02/2026 00:00:00,RAIT & BAJRI DR SB HOUSEWORK,30550.00
390,610012,61,07/02/2026 00:00:00,IMRAN BOTTLE,500000.00
391,64002,61,07/02/2026 00:00:00,MATI DR SB HOUSE,10000.00
392,52015,61,07/02/2026 00:00:00,DR WADOOD,100000.00
393,52015,61,07/02/2026 00:00:00,DR KHALID SALARY,300000.00
394,610022,61,07/02/2026 00:00:00,HASNANT BENTO,144500.00
395,64002,61,07/02/2026 00:00:00,MASJID DONATOIN,70000.00
396,64002,61,07/02/2026 00:00:00,ASIF RANG HOUSE WORK,10000.00
397,52023,61,07/02/2026 00:00:00,FACTORY EXP,5000.00
398,64002,61,07/02/2026 00:00:00,ANWAR MOTOR PURCHASED,20000.00
399,52010,62,07/03/2026 00:00:00,ZAFAR IQBAL PROFIT,324500.00
400,52014,62,07/03/2026 00:00:00,KALEEM SALARY ,500000.00
401,52014,62,07/03/2026 00:00:00,MEHMOOD SALARY,100000.00
402,64002,62,07/03/2026 00:00:00,REGISTY EXP,600000.00
403,52014,62,07/03/2026 00:00:00,ZAFAR ULLAH SALARY,100000.00
404,52054,63,07/04/2026 00:00:00,KHANA,10000.00
405,610019,63,07/04/2026 00:00:00,AMBER BOTTLE,4800.00
406,610018,63,07/04/2026 00:00:00,SODIUM BICORBONATES,3200.00
407,547,63,07/04/2026 00:00:00,SHOPER,20750.00
412,64002,64,07/05/2026 00:00:00,SHAH RANG DR SB HOUSE,92000.00
413,64002,64,07/05/2026 00:00:00,DR SB HOUSE EXP,10000.00
414,52055,64,07/05/2026 00:00:00,PETROL EXP,18752.00
415,52023,64,07/05/2026 00:00:00,FACTORY PIPE,28515.00
416,1221,64,07/05/2026 00:00:00,PRINTER PURCHASED,24000.00
417,547,64,07/05/2026 00:00:00,CHAIR REPAIR,8000.00
418,548,64,07/05/2026 00:00:00,ZAFAR ULLAH EXP,20000.00
419,52014,65,07/06/2026 00:00:00,PATHAN SALARY,765000.00
420,52022,65,07/06/2026 00:00:00,MACHINE SALAYE PURCHASED,23650.00
421,610019,65,07/06/2026 00:00:00,HAMMID BALTI PURCHASED,55000.00
422,64002,65,07/06/2026 00:00:00,DR SB HOUSE EXP,300000.00
423,64002,65,07/06/2026 00:00:00,DR SB HOUSE EXP,10000.00
424,1211,65,07/06/2026 00:00:00,ALTO PURCHASED DOWN PAYMENT,505000.00
425,52055,66,07/07/2026 00:00:00,PETROL JEEB,25000.00
426,610022,66,07/07/2026 00:00:00, PURCHASED DCP  FROM SAJID,167000.00
427,546,66,07/07/2026 00:00:00,VISA FEEC DR SB,30000.00
428,64002,66,07/07/2026 00:00:00,DR SB HOUSE EXP,230000.00
429,52014,67,07/08/2026 00:00:00,FACTOY SALARY,250000.00
430,610012,67,07/08/2026 00:00:00,IMRAN BOTTLE,500000.00
431,546,67,07/08/2026 00:00:00,FRC VISA FEEC,20000.00
432,52001,67,07/08/2026 00:00:00,RASHAN,43000.00
433,64002,67,07/08/2026 00:00:00,DR SB HOUSE WORK ASIF RANG,50000.00
434,52062,67,07/08/2026 00:00:00,BILTY EXP,106400.00
435,610018,67,07/08/2026 00:00:00,NA. SULPHATE,43500.00
436,610018,67,07/08/2026 00:00:00,AMMUNIUM CLORIDE,10000.00
437,610018,67,07/08/2026 00:00:00,EUCLUPTUS OIL,30000.00
438,610018,67,07/08/2026 00:00:00,PIPER MINT OIL,25000.00
439,610019,67,07/08/2026 00:00:00,WHITE UNPRINT BAG  ,3800.00
440,52062,67,07/08/2026 00:00:00,RENT,2500.00
441,610019,67,07/08/2026 00:00:00,AMBER BOTTLE 100 ML,4000.00
442,52062,67,07/08/2026 00:00:00,BILTY EXP,1200.00
443,620041,68,07/09/2026 00:00:00,SALARY PAID TO FAISAL HEHALF OF QAZI IRFAN,50000.00
444,54001,68,07/09/2026 00:00:00,SHAFIQUE CAR RENT,3000000.00
445,610018,68,07/09/2026 00:00:00,FORMIC PURCHASED,21840.00
446,52055,69,07/10/2026 00:00:00,TOBA PETROL,10000.00
447,54001,69,07/10/2026 00:00:00,CAR RENT,1400000.00
448,547,70,07/11/2026 00:00:00,FACTORY SAMAN ANWAR,12500.00
449,547,70,07/11/2026 00:00:00,FACTORY CLOCK,6500.00
450,64002,70,07/11/2026 00:00:00,DR SB VISA FEEC,20000.00
451,610018,70,07/11/2026 00:00:00,SODIUM SULPHATE,25200.00
